GeoFIPS,GeoName,Region,Description,2016,2017,2018,2019,2020
" ""13197""","Marion, GA",5.0,Per capita personal income (dollars) 2/,28195.0,30030.0,31953.0,32680.0,35477.0
" ""13199""","Meriwether, GA",5.0,Per capita personal income (dollars) 2/,32546.0,33503.0,34963.0,36761.0,40521.0
" ""13201""","Miller, GA",5.0,Per capita personal income (dollars) 2/,35916.0,37803.0,41660.0,44597.0,47676.0
" ""13205""","Mitchell, GA",5.0,Per capita personal income (dollars) 2/,32359.0,33802.0,33757.0,36120.0,40798.0
" ""13207""","Monroe, GA",5.0,Per capita personal income (dollars) 2/,41474.0,42855.0,44493.0,46223.0,48331.0
" ""13209""","Montgomery, GA",5.0,Per capita personal income (dollars) 2/,29841.0,30008.0,30156.0,30978.0,34898.0
" ""13211""","Morgan, GA",5.0,Per capita personal income (dollars) 2/,44047.0,47376.0,49280.0,50919.0,53512.0
" ""13213""","Murray, GA",5.0,Per capita personal income (dollars) 2/,28179.0,29359.0,30348.0,31227.0,33618.0
" ""13215""","Muscogee, GA",5.0,Per capita personal income (dollars) 2/,38768.0,39997.0,41052.0,41438.0,44110.0
" ""13217""","Newton, GA",5.0,Per capita personal income (dollars) 2/,31958.0,32798.0,33978.0,34971.0,38557.0
" ""13219""","Oconee, GA",5.0,Per capita personal income (dollars) 2/,58554.0,62547.0,64653.0,66302.0,70139.0
" ""13221""","Oglethorpe, GA",5.0,Per capita personal income (dollars) 2/,35591.0,37246.0,37387.0,38309.0,39678.0
" ""13223""","Paulding, GA",5.0,Per capita personal income (dollars) 2/,36054.0,37389.0,38803.0,40387.0,43230.0
" ""13225""","Peach, GA",5.0,Per capita personal income (dollars) 2/,35152.0,36846.0,36636.0,38314.0,41071.0
" ""13227""","Pickens, GA",5.0,Per capita personal income (dollars) 2/,44304.0,45941.0,47042.0,49079.0,51501.0
" ""13229""","Pierce, GA",5.0,Per capita personal income (dollars) 2/,33337.0,34695.0,35208.0,36854.0,40096.0
" ""13231""","Pike, GA",5.0,Per capita personal income (dollars) 2/,37597.0,38501.0,40257.0,42162.0,44542.0
" ""13233""","Polk, GA",5.0,Per capita personal income (dollars) 2/,30580.0,30839.0,32064.0,33335.0,36134.0
" ""13235""","Pulaski, GA",5.0,Per capita personal income (dollars) 2/,30451.0,32659.0,34019.0,34958.0,37418.0
" ""13237""","Putnam, GA",5.0,Per capita personal income (dollars) 2/,39122.0,41238.0,44100.0,45112.0,49042.0
" ""13239""","Quitman, GA",5.0,Per capita personal income (dollars) 2/,27966.0,28931.0,31280.0,32642.0,39840.0
" ""13241""","Rabun, GA",5.0,Per capita personal income (dollars) 2/,39107.0,41003.0,41032.0,42806.0,45603.0
" ""13243""","Randolph, GA",5.0,Per capita personal income (dollars) 2/,29726.0,31615.0,32912.0,35476.0,40426.0
" ""13245""","Richmond, GA",5.0,Per capita personal income (dollars) 2/,33814.0,35364.0,36387.0,37618.0,41200.0
" ""13247""","Rockdale, GA",5.0,Per capita personal income (dollars) 2/,32937.0,33242.0,34152.0,35473.0,39171.0
" ""13249""","Schley, GA",5.0,Per capita personal income (dollars) 2/,31095.0,33021.0,35546.0,36416.0,40072.0
" ""13251""","Screven, GA",5.0,Per capita personal income (dollars) 2/,31157.0,32567.0,33437.0,34374.0,37682.0
" ""13253""","Seminole, GA",5.0,Per capita personal income (dollars) 2/,36519.0,37070.0,37068.0,40827.0,45054.0
" ""13255""","Spalding, GA",5.0,Per capita personal income (dollars) 2/,32695.0,33024.0,34078.0,35717.0,38499.0
" ""13257""","Stephens, GA",5.0,Per capita personal income (dollars) 2/,34688.0,35871.0,35927.0,36213.0,39374.0
" ""13259""","Stewart, GA",5.0,Per capita personal income (dollars) 2/,23892.0,24692.0,26179.0,27809.0,30903.0
" ""13261""","Sumter, GA",5.0,Per capita personal income (dollars) 2/,32727.0,34521.0,34745.0,36757.0,40142.0
" ""13263""","Talbot, GA",5.0,Per capita personal income (dollars) 2/,33903.0,35724.0,35650.0,37822.0,43382.0
" ""13265""","Taliaferro, GA",5.0,Per capita personal income (dollars) 2/,30694.0,32764.0,32828.0,37972.0,38187.0
" ""13267""","Tattnall, GA",5.0,Per capita personal income (dollars) 2/,28611.0,30505.0,30461.0,31177.0,30908.0
" ""13269""","Taylor, GA",5.0,Per capita personal income (dollars) 2/,31176.0,29660.0,31212.0,33105.0,35148.0
" ""13271""","Telfair, GA",5.0,Per capita personal income (dollars) 2/,23057.0,24006.0,24758.0,25476.0,27938.0
" ""13273""","Terrell, GA",5.0,Per capita personal income (dollars) 2/,35024.0,35445.0,36540.0,39240.0,42818.0
" ""13275""","Thomas, GA",5.0,Per capita personal income (dollars) 2/,39272.0,41126.0,43163.0,43752.0,47526.0
" ""13277""","Tift, GA",5.0,Per capita personal income (dollars) 2/,34466.0,35112.0,36516.0,37669.0,41573.0
" ""13279""","Toombs, GA",5.0,Per capita personal income (dollars) 2/,33345.0,33561.0,34509.0,35352.0,39597.0
" ""13281""","Towns, GA",5.0,Per capita personal income (dollars) 2/,34715.0,36165.0,37483.0,39919.0,44299.0
" ""13283""","Treutlen, GA",5.0,Per capita personal income (dollars) 2/,28337.0,29977.0,30156.0,31717.0,34610.0
" ""13285""","Troup, GA",5.0,Per capita personal income (dollars) 2/,34421.0,34700.0,35626.0,37362.0,41272.0
" ""13287""","Turner, GA",5.0,Per capita personal income (dollars) 2/,29665.0,30352.0,30097.0,32750.0,34116.0
" ""13289""","Twiggs, GA",5.0,Per capita personal income (dollars) 2/,35867.0,37646.0,40819.0,39255.0,41274.0
" ""13291""","Union, GA",5.0,Per capita personal income (dollars) 2/,35304.0,36781.0,37622.0,39231.0,41836.0
" ""13293""","Upson, GA",5.0,Per capita personal income (dollars) 2/,32257.0,32490.0,33542.0,35342.0,37408.0
" ""13295""","Walker, GA",5.0,Per capita personal income (dollars) 2/,31192.0,32447.0,33663.0,35069.0,37755.0
