County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Clay,Georgia,1143,1593,1,6,0,7,57,41
Clayton,Georgia,25902,205301,601,13491,119,1800,7835,42546
Clinch,Georgia,4256,1950,30,22,7,31,200,253
Cobb,Georgia,369182,200072,1289,42533,293,7382,34158,111240
Coffee,Georgia,24158,11872,62,299,14,69,1188,5430
Colquitt,Georgia,25588,9995,83,388,15,106,1014,8709
Columbia,Georgia,99111,27621,354,7102,271,897,8796,11858
Cook,Georgia,10658,4753,29,100,4,51,500,1134
Coweta,Georgia,99421,25544,298,3329,62,669,5782,11053
Crawford,Georgia,8866,2267,45,31,3,44,459,415
Crisp,Georgia,9892,8821,18,180,4,64,515,634
Dade,Georgia,14786,141,68,129,5,31,727,364
Dawson,Georgia,23544,200,63,235,14,94,1043,1605
Decatur,Georgia,14280,12200,64,183,16,64,649,1911
DeKalb,Georgia,215895,384438,1161,50076,202,4719,26420,81471
Dodge,Georgia,12865,5847,21,95,8,42,427,620
Dooly,Georgia,4611,5540,17,51,2,14,176,797
Dougherty,Georgia,20631,59720,128,647,20,234,1997,2413
Douglas,Georgia,49877,68763,335,2313,97,1072,5745,16035
Early,Georgia,4813,5534,31,47,0,11,232,186
Echols,Georgia,2328,147,37,8,0,2,84,1091
Effingham,Georgia,48204,8747,181,677,28,269,3171,3492
Elbert,Georgia,12610,5253,26,182,3,53,514,996
Emanuel,Georgia,13815,7246,33,141,2,40,498,993
Evans,Georgia,6038,3083,15,78,11,21,291,1237
Fannin,Georgia,23351,85,85,113,3,55,874,753
Fayette,Georgia,68144,29166,212,6362,44,848,4938,9480
Floyd,Georgia,67747,13940,191,1287,24,371,3558,11466
Forsyth,Georgia,159407,10455,456,45117,85,1255,9282,25226
Franklin,Georgia,19262,1888,34,261,3,79,776,1121
Fulton,Georgia,404793,448803,1558,80632,381,6444,37797,86302
Gilmer,Georgia,26365,127,62,131,0,82,987,3599
Glascock,Georgia,2573,196,0,7,2,0,54,52
Glynn,Georgia,52987,20469,175,1175,92,352,2913,6336
Gordon,Georgia,43317,2075,122,719,15,123,2216,8957
Grady,Georgia,14715,7285,89,110,6,86,672,3273
Greene,Georgia,11126,5783,28,174,2,58,455,1289
Gwinnett,Georgia,310583,257124,1532,126526,387,6489,33961,220460
Habersham,Georgia,34694,1722,83,990,35,109,1518,6880
Hall,Georgia,120418,14256,341,4198,85,708,6120,57010
Hancock,Georgia,2413,6025,23,37,1,10,163,63
Haralson,Georgia,26825,1253,56,186,9,87,1006,497
Harris,Georgia,25925,5170,101,388,21,138,1508,1417
Hart,Georgia,19250,4324,36,335,2,86,864,931
Heard,Georgia,9589,930,33,53,4,29,521,253
Henry,Georgia,86297,116431,427,7976,119,1650,9375,18437
Houston,Georgia,86211,51992,339,4905,124,703,7552,11807
Irwin,Georgia,6402,2224,15,119,1,24,218,663
Jackson,Georgia,59064,5136,127,1744,30,294,2800,6712
Jasper,Georgia,10771,2442,34,22,1,62,572,684
Jeff Davis,Georgia,9950,2293,26,50,7,33,373,2047
Jefferson,Georgia,6834,7970,21,70,0,25,327,462
Jenkins,Georgia,4611,3536,29,12,5,30,148,303
Johnson,Georgia,5800,3017,23,28,15,14,175,117
Jones,Georgia,20074,6739,46,138,7,73,794,476
Lamar,Georgia,12344,4888,13,102,4,48,626,475
Lanier,Georgia,6595,2138,31,81,14,33,413,572
Laurens,Georgia,27881,18219,80,507,14,141,1304,1424
Lee,Georgia,22758,7331,57,850,9,98,1107,953
Liberty,Georgia,24004,27309,225,1325,437,322,3848,7786
Lincoln,Georgia,5196,2116,18,20,3,10,235,92
Long,Georgia,8774,4028,62,164,88,91,982,1979
Lowndes,Georgia,59306,43946,312,1908,100,450,4357,7872
Lumpkin,Georgia,29241,412,151,257,21,118,1498,1790
McDuffie,Georgia,11417,8644,45,76,13,37,610,790
McIntosh,Georgia,7060,3176,32,43,0,35,398,231
Macon,Georgia,4078,7150,15,156,7,20,184,472
Madison,Georgia,23549,2753,44,521,4,106,1187,1956
Marion,Georgia,4486,2122,12,55,15,11,237,560
Meriwether,Georgia,12084,7273,64,78,6,50,583,475
Miller,Georgia,3949,1748,9,26,1,5,126,136
Mitchell,Georgia,10106,10054,37,108,0,41,445,964
Monroe,Georgia,19954,6084,34,239,0,86,846,714
Montgomery,Georgia,5665,2120,11,34,0,13,196,571
Morgan,Georgia,14487,4105,42,122,1,68,560,712
Murray,Georgia,32164,263,79,127,2,58,1366,5914
