County,State,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
MIFFLIN,Pennsylvania,42087.0,13.2,4258.0,"2,850"
JUNIATA,Pennsylvania,42067.0,14.3,2365.0,"2,711"
BEDFORD,Pennsylvania,42009.0,16.1,5616.0,"2,422"
FULTON,Pennsylvania,42057.0,16.3,1725.0,"2,393"
POTTER,Pennsylvania,42105.0,16.7,1992.0,"2,329"
JEFFERSON,Pennsylvania,42065.0,17.0,5364.0,"2,285"
SOMERSET,Pennsylvania,42111.0,17.2,9515.0,"2,241"
HUNTINGDON,Pennsylvania,42061.0,18.1,5776.0,"2,109"
PERRY,Pennsylvania,42099.0,18.3,6041.0,"2,059"
CARBON,Pennsylvania,42025.0,18.3,8810.0,"2,036"
SCHUYLKILL,Pennsylvania,42107.0,18.5,19294.0,"2,009"
NORTHUMBERLAND,Pennsylvania,42097.0,18.5,12361.0,"2,008"
ELK,Pennsylvania,42047.0,18.5,4200.0,"2,001"
ARMSTRONG,Pennsylvania,42005.0,18.6,9035.0,"1,982"
FAYETTE,Pennsylvania,42051.0,18.6,17643.0,"1,972"
SULLIVAN,Pennsylvania,42113.0,18.9,918.0,"1,935"
WARREN,Pennsylvania,42123.0,19.0,5370.0,"1,925"
CLEARFIELD,Pennsylvania,42033.0,19.1,11377.0,"1,891"
VENANGO,Pennsylvania,42121.0,19.4,7263.0,"1,847"
MCKEAN,Pennsylvania,42083.0,19.5,5619.0,"1,832"
SUSQUEHANNA,Pennsylvania,42115.0,19.9,5697.0,"1,756"
BRADFORD,Pennsylvania,42015.0,20.0,8520.0,"1,730"
CLINTON,Pennsylvania,42035.0,20.3,5075.0,"1,674"
CRAWFORD,Pennsylvania,42039.0,20.6,12132.0,"1,629"
WAYNE,Pennsylvania,42127.0,20.8,8193.0,"1,590"
SNYDER,Pennsylvania,42109.0,21.0,5584.0,"1,564"
GREENE,Pennsylvania,42059.0,21.1,5392.0,"1,547"
