County,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
"Calhoun County, Michigan",100385,14275,683,3715,29,553,7244,7426
"Cass County, Michigan",43309,2272,521,316,11,218,2781,2161
"Charlevoix County, Michigan",23881,74,367,122,10,114,1061,425
"Cheboygan County, Michigan",22872,89,687,85,1,65,1439,341
"Chippewa County, Michigan",24544,2611,5601,193,12,87,2980,757
"Clare County, Michigan",28628,140,181,72,0,88,1126,621
"Clinton County, Michigan",67915,1640,234,1870,23,241,3265,3940
"Crawford County, Michigan",12026,57,83,55,4,29,442,292
"Delta County, Michigan",33441,93,818,153,8,82,1765,543
"Dickinson County, Michigan",24198,61,117,147,4,43,937,440
"Eaton County, Michigan",87200,7463,307,2444,13,346,4875,6527
"Emmet County, Michigan",30359,159,1074,173,22,97,1636,592
"Genesee County, Michigan",283483,79080,1391,4041,116,1390,20451,16259
"Gladwin County, Michigan",23830,68,95,72,0,45,794,482
"Gogebic County, Michigan",12981,65,512,35,3,36,526,222
"Grand Traverse County, Michigan",85543,583,878,813,41,289,4081,3010
"Gratiot County, Michigan",34812,2195,156,161,28,96,1160,3153
"Hillsdale County, Michigan",42145,196,143,176,6,137,1771,1172
"Houghton County, Michigan",33854,280,159,855,21,151,1372,669
"Huron County, Michigan",29508,77,77,150,5,42,708,840
"Ingham County, Michigan",191551,34446,953,16424,110,1451,15543,24422
"Ionia County, Michigan",57617,3210,246,229,5,121,2012,3364
"Iosco County, Michigan",23244,164,124,153,3,56,883,610
"Iron County, Michigan",10823,24,93,41,0,34,410,206
"Isabella County, Michigan",52970,2076,2025,1116,17,182,3002,3006
"Jackson County, Michigan",131097,12385,515,1475,30,473,8207,6184
"Kalamazoo County, Michigan",193428,29686,819,6983,57,1367,14554,14776
"Kalkaska County, Michigan",16523,40,139,60,0,59,763,355
"Kent County, Michigan",465491,62359,1818,21799,175,2331,28773,75228
"Keweenaw County, Michigan",1948,4,1,0,0,5,61,27
"Lake County, Michigan",9360,795,65,45,8,24,604,1195
"Lapeer County, Michigan",78871,966,277,396,8,250,3607,4244
"Leelanau County, Michigan",19781,64,577,106,4,58,794,917
"Lenawee County, Michigan",83126,2437,342,476,8,299,4241,8494
"Livingston County, Michigan",176756,1117,512,1626,113,567,7672,5503
"Luce County, Michigan",4514,12,365,2,0,10,362,74
"Mackinac County, Michigan",8015,56,1682,28,0,34,852,167
"Macomb County, Michigan",665241,108532,1766,38244,193,2939,38088,26214
"Manistee County, Michigan",21836,606,487,79,2,57,1135,830
"Marquette County, Michigan",59038,790,1011,400,17,178,3239,1344
"Mason County, Michigan",25944,167,219,154,8,81,1189,1290
"Mecosta County, Michigan",35521,772,190,312,14,118,1761,1026
"Menominee County, Michigan",21325,98,727,94,5,33,734,486
"Midland County, Michigan",73825,942,293,1710,83,320,3662,2659
"Missaukee County, Michigan",13940,33,48,43,1,23,465,499
"Monroe County, Michigan",135369,4036,414,952,24,490,7293,6231
"Montcalm County, Michigan",58880,2118,212,225,23,136,2323,2697
"Montmorency County, Michigan",8551,12,68,24,0,34,339,125
"Muskegon County, Michigan",130141,23622,1106,1073,31,537,9031,10283
"Newaygo County, Michigan",43915,424,256,189,14,126,2085,2969
"Oakland County, Michigan",879137,168797,2236,105665,304,5230,52188,60838
"Oceana County, Michigan",21191,123,195,69,4,79,890,4108
"Ogemaw County, Michigan",19268,59,108,57,8,58,775,437
"Ontonagon County, Michigan",5434,8,60,20,2,10,214,68
"Osceola County, Michigan",21188,155,142,34,6,61,905,400
"Oscoda County, Michigan",7684,8,34,5,0,11,323,154
"Otsego County, Michigan",23156,100,151,91,0,60,1087,446
"Ottawa County, Michigan",241520,5071,726,7895,95,851,10660,29382
"Presque Isle County, Michigan",12282,28,67,52,0,26,373,154
"Roscommon County, Michigan",21883,60,94,76,10,47,855,434
"Saginaw County, Michigan",128722,33548,462,2373,85,769,7261,16904
"St. Clair County, Michigan",142396,3773,561,809,13,443,6883,5505
"St. Joseph County, Michigan",50674,1341,151,414,9,174,2749,5427
"Sanilac County, Michigan",37209,151,112,84,2,98,1281,1674
"Schoolcraft County, Michigan",6727,10,699,15,1,5,494,96
"Shiawassee County, Michigan",62239,319,223,288,19,188,2794,2024
"Tuscola County, Michigan",48611,402,174,155,12,132,2029,1808
"Van Buren County, Michigan",59400,2348,552,384,27,285,3625,8966
"Washtenaw County, Michigan",252220,42125,715,33517,183,2051,20716,20731
"Wayne County, Michigan",857132,669277,4265,64604,322,7974,72338,117649
"Wexford County, Michigan",30783,187,163,186,1,112,1451,790
"Churchill County, Nevada",17870,428,1006,640,87,143,1756,3586
"Clark County, Nevada",892802,275002,8487,231972,18877,12890,124015,701416
"Douglas County, Nevada",38856,183,807,898,81,240,2282,6141
"Elko County, Nevada",34177,494,2378,555,85,247,2174,13592
"Esmeralda County, Nevada",521,4,20,4,0,0,41,139
"Eureka County, Nevada",1545,2,21,4,3,11,91,178
"Humboldt County, Nevada",11032,137,571,152,26,199,657,4511
"Lander County, Nevada",3975,7,206,27,10,19,234,1256
"Lincoln County, Nevada",3838,168,26,21,13,9,130,294
"Lyon County, Nevada",42350,488,1083,924,168,252,3631,10339
"Mineral County, Nevada",2858,161,711,64,8,16,228,508
"Nye County, Nevada",37313,1496,620,1028,217,291,2699,7927
"Pershing County, Nevada",4197,322,198,109,8,21,296,1499
"Storey County, Nevada",3338,24,38,67,8,34,255,340
"Washoe County, Nevada",287862,11527,5790,28063,3250,2485,25311,122204
"White Pine County, Nevada",6354,438,358,105,19,22,327,1457
"Carson City, Nevada",37064,1079,1072,1358,110,292,2794,14870
"Belknap County, New Hampshire",58714,324,122,582,11,188,2503,1261
"Carroll County, New Hampshire",46947,131,100,358,6,206,1590,769
"Cheshire County, New Hampshire",69264,648,146,1067,46,305,3180,1802
"Coos County, New Hampshire",28629,494,84,193,3,71,1122,672
"Grafton County, New Hampshire",80370,783,180,2855,24,368,3959,2579
"Hillsborough County, New Hampshire",342652,10044,630,16413,112,2383,17205,33498
"Merrimack County, New Hampshire",137252,2536,310,3013,59,575,6183,3880
"Rockingham County, New Hampshire",283099,2076,342,6247,79,1236,10840,10257
"Strafford County, New Hampshire",114599,1434,251,4473,42,403,5773,3914
"Sullivan County, New Hampshire",39123,185,134,403,6,181,2209,822
"Adams County, Ohio",26185,84,74,39,1,33,844,217
"Allen County, Ohio",79691,12475,233,835,42,541,5117,3272
"Ashland County, Ohio",48948,383,82,322,33,103,1714,862
"Ashtabula County, Ohio",84064,3492,154,338,12,260,4765,4489
"Athens County, Ohio",54086,2768,223,1210,1,256,2437,1450
"Auglaize County, Ohio",43643,231,76,242,40,71,1338,781
"Belmont County, Ohio",60536,2071,83,265,11,130,2577,824
"Brown County, Ohio",41053,302,68,84,2,111,1569,487
"Butler County, Ohio",294712,34144,610,15658,480,1546,17942,25265
"Carroll County, Ohio",25204,122,73,52,3,56,912,299
"Champaign County, Ohio",35314,683,79,125,7,139,1719,648
"Clark County, Ohio",109794,12074,314,898,91,538,6979,5313
"Clermont County, Ohio",187749,3245,345,2529,58,611,9108,4956
"Clinton County, Ohio",38247,819,96,205,6,165,1715,765
"Columbiana County, Ohio",93466,2082,161,345,16,217,3838,1752
"Coshocton County, Ohio",34582,389,57,98,7,47,1031,401
"Crawford County, Ohio",39388,305,40,131,12,70,1441,638
"Cuyahoga County, Ohio",718753,365169,1827,43739,249,5745,46008,83327
"Darke County, Ohio",48994,302,92,181,26,122,1305,859
"Defiance County, Ohio",32276,598,79,133,15,88,1147,3950
"Delaware County, Ohio",171420,7702,242,18158,60,823,8707,7012
"Erie County, Ohio",61061,6655,121,474,10,232,3939,3130
"Fairfield County, Ohio",130664,13302,287,3063,31,515,7038,4021
"Fayette County, Ohio",26260,521,43,171,11,88,1176,681
"Franklin County, Ohio",787615,296076,2160,73714,444,7212,65404,91182
"Fulton County, Ohio",36968,225,60,152,6,120,1391,3791
"Gallia County, Ohio",26955,597,55,148,5,79,1119,262
"Geauga County, Ohio",88958,1075,36,666,8,220,2770,1664
"Greene County, Ohio",135603,11285,330,5516,87,876,9053,5216
"Guernsey County, Ohio",35717,520,87,149,7,65,1449,444
"Hamilton County, Ohio",519734,207764,1173,25160,618,3959,35981,36250
"Hancock County, Ohio",65107,1363,79,1393,26,220,2534,4198
"Hardin County, Ohio",28389,256,48,169,8,69,1060,697
"Harrison County, Ohio",13425,234,14,40,6,18,616,130
"Henry County, Ohio",24463,155,49,125,4,43,636,2187
"Highland County, Ohio",40492,518,109,110,8,96,1560,424
"Hocking County, Ohio",26502,139,45,71,0,53,1008,232
"Holmes County, Ohio",42875,119,33,64,5,41,612,474
"Huron County, Ohio",51242,562,139,216,12,106,2204,4084
"Jackson County, Ohio",30835,158,88,101,1,50,1114,306
"Jefferson County, Ohio",56545,3619,109,338,29,244,3206,1159
"Knox County, Ohio",58058,565,118,365,17,237,2165,1196
"Lake County, Ohio",197069,10778,236,3255,38,604,9261,11362
"Lawrence County, Ohio",54016,1100,134,219,7,135,2011,618
"Licking County, Ohio",152935,7142,386,4999,45,787,8237,3988
"Logan County, Ohio",41749,673,83,327,11,181,2122,1004
"Lorain County, Ohio",237520,22980,502,3569,50,1020,14406,32917
"Lucas County, Ohio",284663,83398,817,7089,115,1926,21104,32167
"Madison County, Ohio",37761,2664,59,253,4,176,1644,1263
"Mahoning County, Ohio",169090,33770,332,1952,59,708,8610,14093
"Marion County, Ohio",56114,4051,140,358,15,167,2558,1956
"Medina County, Ohio",165643,2292,192,2184,28,589,6950,4592
